Writer,Content,Date,Like,Tag,Comments,Url
supppperman,검은 음식 vs 흰색 음식 빨리 먹기 대결!!!! 과연 무슨색 음식이 기다리고 있을 것인가!?,2022-6-16,111.5K,"['#슈뻘맨', '#구독']",304,https://www.tiktok.com/@supppperman/video/7109754555017055489?q=%EC%9D%8C%EC%8B%9D
dangbee_eating,치즈 진짜 꾸~덕하당🧀🧀,7-16,389.8K,"['#eatingsounds', '#먹방asmr']",2219,https://www.tiktok.com/@dangbee_eating/video/7256389180543012097?q=%EC%9D%8C%EC%8B%9D
ddo.ho,찜질방에 가면 무조건 먹는 음식은 뭔가요?? 또호는 식혜😁,2021-3-17,669.4K,"['#틱톡푸드', '#랜선찜질방', '#랜선여행', '#koreanfood']",2732,https://www.tiktok.com/@ddo.ho/video/6940636448580177153?q=%EC%9D%8C%EC%8B%9D
muckboeun,배고프고 입맛없을땐 스팸에 흰쌀밥이징💖,2021-3-5,217.9K,"['#밥도둑', '#푸드', '#냠냠', '#food']",1425,https://www.tiktok.com/@muckboeun/video/6936049890439073026?q=%EC%9D%8C%EC%8B%9D
fineness1010,✌️로 맛있는 과일들😙,8-22,8163,"['#얼려먹음🧊', '#학원']",489,https://www.tiktok.com/@fineness1010/video/7270040220827979010?q=%EC%9D%8C%EC%8B%9D
kimpeckha03,살아있는 개구리를 회 떠서 먹는 잔인한 음식,9-18,7353,"['#개구리반찬', '#개구리회', '#잔인한음식']",475,https://www.tiktok.com/@kimpeckha03/video/7280125442353532167?q=%EC%9D%8C%EC%8B%9D
mzbo_ok,자녁에 먹어도 살안찌는 음식‼️(맛있게 먹으면 다 0칼로리임..),2022-4-17,14.5K,"['#다이어트', '#살안찌는음식', '#저녁에먹어도살안찌는음식']",156,https://www.tiktok.com/@mzbo_ok/video/7087587024248573185?q=%EC%9D%8C%EC%8B%9D
ttoktakbro,근본있는 떡볶이 분식집 떡볶이와 떡꼬치,2021-12-23,9865,"['#틱톡푸드', '#틱톡먹방']",48,https://www.tiktok.com/@ttoktakbro/video/7044806226210819330?q=%EC%9D%8C%EC%8B%9D
jelyyum,불편한 급식 호불호 강한 음식들,2022-10-10,44K,"['#호불호음식', '#푸드사운드', '#파트너크리에이터']",1088,https://www.tiktok.com/@jelyyum/video/7152779397647420673?q=%EC%9D%8C%EC%8B%9D
bonggil.mukbangg,Fried Chicken - Spicy Noodles,2022-12-20,707.5K,"['#bonggil', '#bonggil_asmr', '#mukbangbonggil', '#eatwithbonggil', '#mukbang']",8138,https://www.tiktok.com/@bonggil.mukbangg/video/7178929539425488174?q=%EC%9D%8C%EC%8B%9D
jelyyum,애인이랑 싸웠을 때 먹기 좋은 3가지 요리,2022-10-5,29.3K,"['#음식추천', '#먹방', '#푸드사운드', '#파트너크리에이터']",658,https://www.tiktok.com/@jelyyum/video/7150924392686472449?q=%EC%9D%8C%EC%8B%9D
foodradio,간식 듀토리얼🍫 응원할게요 다들 화이팅!,2022-11-16,174.1K,"['#수능', '#수능응원', '#틱톡푸드', '#레시피읽어주는여자']",677,https://www.tiktok.com/@foodradio/video/7166557102188662017?q=%EC%9D%8C%EC%8B%9D
jjangtaku,요즘 틱톡에서 유행하는 젤리 얼려먹기!,4-19,255.5K,"['#간식', '#젤리먹방', '#젤리얼음', '#틱톡푸드', '#asmr', '#fyp']",950,https://www.tiktok.com/@jjangtaku/video/7223687630670777601?q=%EC%9D%8C%EC%8B%9D
13doctorwhoo,계급별 훈련 음식 먹는 유형,2022-12-25,69.8K,['#윗유하우스'],396,https://www.tiktok.com/@13doctorwhoo/video/7181031973752802562?q=%EC%9D%8C%EC%8B%9D
dywjaupea6fm,맛집 탐방하러 가자!,2022-4-16,40.9K,"['#추천간판', '#천추천추천추천추천추천추천추천추천추천']",101,https://www.tiktok.com/@dywjaupea6fm/video/7087109096352058626?q=%EC%9D%8C%EC%8B%9D
baby_pig_rabbit,조카랑 40cm먹방..♥️ 너무 귀여워… ♥️,9-1,156.6K,"['#mukbang', '#asmrsounds']",1222,https://www.tiktok.com/@baby_pig_rabbit/video/7273761000799620354?q=%EC%9D%8C%EC%8B%9D
a.bite,민트초코😅💙 민트초코 좋다! 싫다! 댓글에 남겨주세요😆,2021-1-11,406.6K,"['#한판만', '#foryoupage', '#mintchocolate', '#mintchoco']",9298,https://www.tiktok.com/@a.bite/video/6916413044977437954?q=%EC%9D%8C%EC%8B%9D
borisbtt1pkdl,이중에서 평생 하나의 음식만 먹어야 한다면?,2022-7-8,2743,"['#극혐음식', '#음식', '#fyp', '#fypシ', '#관리자님잘생겼어요']",667,https://www.tiktok.com/@borisbtt1pkdl/video/7117858164917259521?q=%EC%9D%8C%EC%8B%9D
huba333,spicy food funny mukbang,2022-7-4,3.9M,"['#틱톡푸드', '#틱톡먹방', '#먹방', '#mukbang', '#나도이거먹었다', '#spicy', '#noodles']",3451,https://www.tiktok.com/@huba333/video/7116455398080548097?q=%EC%9D%8C%EC%8B%9D
ha.h.aha,,2022-9-23,37.3K,"['#인스타스토리꾸미기', '#인스타꾸미기', '#인스스꾸미기']",19,https://www.tiktok.com/@ha.h.aha/video/7146250306949516546?q=%EC%9D%8C%EC%8B%9D
taste_goyang,학교에서 애들이랑 같이 먹으면 나만 더 맛있나?,8-16,539,"['#3분카레', '#학교음식']",14,https://www.tiktok.com/@taste_goyang/video/7267872801220988178?q=%EC%9D%8C%EC%8B%9D
toctocsia,불닭볶음면 이모지 맛평가 Buldak noodles emoji mukbang #asmr,8-17,423.1K,"['#asmr', '#mukbang', '#불닭볶음면', '#먹방', '#이모지먹방']",1592,https://www.tiktok.com/@toctocsia/video/7268239908005793025?q=%EC%9D%8C%EC%8B%9D
charmming_mk,돼지는 장염에 걸려도 음식을 계속 먹을까?!🐷🔥 • 나 대신 먹고싶은 배달음식 남겨줘••• 시켜 드릴게!🥺 나 -3kg 빠졌다..✨💦 (ㄹㅇ 장염 공감?!?💓),2022-11-10,52.2K,[],529,https://www.tiktok.com/@charmming_mk/video/7164349410816658689?q=%EC%9D%8C%EC%8B%9D
sungwoo1,죽을때까지 치매안걸리는 음식! 40대 이상은 꼭! 이거드세요.,8-8,8337,[],123,https://www.tiktok.com/@sungwoo1/video/7264350662689836289?q=%EC%9D%8C%EC%8B%9D
hyo.boss,🐟🧡Salmon 대왕! 연어 먹방 1탄,1-21,625.2K,"['#foryou', '#foryoupage', '#연어먹방', '#Salmon', '#Salmonasmr', '#eatingasmr']",6075,https://www.tiktok.com/@hyo.boss/video/7191007888695905537?q=%EC%9D%8C%EC%8B%9D
leesiyoung38,먹어도 먹어도 살안찌는 음식,2022-12-8,146.6K,"['#키위랩', '#kiwelab', '#다이어트']",1474,https://www.tiktok.com/@leesiyoung38/video/7174639438381862146?q=%EC%9D%8C%EC%8B%9D
sweetshops2,전주 한옥마을가서 유명한 길거리 음식 먹어보기🌝 여기 있는 음식 다 먹어본 사람 있어용?!,2022-6-13,58K,"['#먹방', '#틱톡푸드', '#틱톡먹방']",498,https://www.tiktok.com/@sweetshops2/video/7108639812147498241?q=%EC%9D%8C%EC%8B%9D
