Writer,Content,Date,Like,Tag,Comments,Url
funbbunman,😁,2022-11-30,2623,"['#틱톡순삭', '#틱톡스포츠', '#명장면', '#tiktoksports', '#amazingvideo', '#월드컵', '#축구', '#추천뜨게해주세요']",56,https://www.tiktok.com/@funbbunman/video/7171711752462159105?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
koreha2,황당하고 웃긴 다이빙 0점 처리,9-21,27K,"['#축구', '#한국축구', '#fyb']",232,https://www.tiktok.com/@koreha2/video/7281247649292897538?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
____lljjyy___,,2022-8-23,29K,"['#taekwondo', '#soonent', '#틱톡스포츠', '#추천']",250,https://www.tiktok.com/@____lljjyy___/video/7134729076555762946?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
804.1646,갈라져라 갈라져!!!!🔥🔥🔥,2020-6-28,298.4K,"['#추천떠라', '#스포츠모델', '#model', '#fitness', '#운동하는남자']",6415,https://www.tiktok.com/@804.1646/video/6843092764633156866?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,stop white..😅,3-3,157.8K,"['#fyp', '#추천', '#유도', '#judo', '#틱톡스포츠', '#파트너크리에이터', '#sigma']",276,https://www.tiktok.com/@yyy_judo/video/7206265094861344001?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,돌면서 안다리 하는 법!! / Turn around Ouchi-gari tutorial🤩,2-8,38.1K,"['#추천', '#fyp', '#유도', '#judo', '#용인대학교', '#용용용']",130,https://www.tiktok.com/@yyy_judo/video/7197724325812669697?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
1minbg,공 속도가 가장빠른 스포츠,8-21,187,['#1분백과'],13,https://www.tiktok.com/@1minbg/video/7269681930378038536?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
hogucouple,실제 검도선수 속도 미쳤다 ㄷㄷㄷ#엔,2021-6-28,49.8K,"['#', '#', '#', '#', '#', '#', '#']",992,https://www.tiktok.com/@hogucouple/video/6978847548152777985?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
ggulzampick,여자 스포츠 선수 민망한 순간,6-29,142,"['#스포츠', '#fyp', '#꿀잼']",1,https://www.tiktok.com/@ggulzampick/video/7249659479409609985?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
si_hyun_car,Are you ready?👋❤️,2022-10-25,1.2M,"['#driving', '#drive', '#드리프트', '#driftgirl', '#cargirl', '#car', '#jdmgirl', '#jdm', '#튜닝카']",5093,https://www.tiktok.com/@si_hyun_car/video/7158393729416449282?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,양팔 업어치기 강도별 메치기🤩 / Morote-Seoi-nage,2022-11-13,1.4M,"['#틱톡스포츠', '#유도', '#용인대학교', '#judo', '#용용용']",7425,https://www.tiktok.com/@yyy_judo/video/7165359104402148609?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
anhh10133,이 경기는 여성들도 높은 수준에서 경쟁할 수 있다는 것을 보여줍니다.,9-16,31.7K,"['#레슬링', '#스포츠코리아', '#fyb']",82,https://www.tiktok.com/@anhh10133/video/7279242562198719777?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
