Writer,Content,Date,Like,Tag,Comments,Url
netflixkcontent,하버드생 나딘과 요리사 한빈의 직업 공개!,2022-12-29,59.8K,"['#LeeNaDine', '#KimHanBin', '#Netflix', '#NetflixKorea']",227,https://www.tiktok.com/@netflixkcontent/video/7182197541344267522?q=%EC%A7%81%EC%97%85
rod_7455,위험하지만 돈 많이 버는 직업 TOP4,7-18,12.6K,"['#대게', '#아파트', '#감전', '#추천']",75,https://www.tiktok.com/@rod_7455/video/7256984977269624066?q=%EC%A7%81%EC%97%85
moviebabayo,역시 돈이 최고!,2022-6-14,11.1K,"['#이동욱', '#유인나']",27,https://www.tiktok.com/@moviebabayo/video/7108748109752044802?q=%EC%A7%81%EC%97%85
feppytv,🙊 성수동 25세 훈녀의 반전직업 ㄷㄷ #성수동 #훈녀 #ootd #여름코디 #길거리캐스팅 #인스타 #데일리룩 #룩북,8-22,1922,"['#성수동', '#훈녀', '#ootd', '#여름코디', '#길거리캐스팅', '#인스타', '#데일리룩', '#룩북']",23,https://www.tiktok.com/@feppytv/video/7270076512500452609?q=%EC%A7%81%EC%97%85
woosm,세상 사람들 모두가 유튜버라면?,10-21,17.9K,"['#유머', '#공감', '#memekomic']",39,https://www.tiktok.com/@woosm/video/7292331041925106952?q=%EC%A7%81%EC%97%85
gheykr,의류학과 졸업한 친구들 직업,6-29,24.9K,['#추천'],25,https://www.tiktok.com/@gheykr/video/7250118683584990465?q=%EC%A7%81%EC%97%85
funkylocals,이제는 직업병이에요😭,7-12,33.2K,"['#guccidance', '#dancechallenge', '#viral_video', '#trendingdance', '#dancelovers']",193,https://www.tiktok.com/@funkylocals/video/7254718395910786305?q=%EC%A7%81%EC%97%85
ninmce42,[],3-8,45K,[],212,https://www.tiktok.com/@ninmce42/video/7207833815908158738?q=%EC%A7%81%EC%97%85
killta8585,연봉 2000인데 경쟁률 장난 아니라는 직업ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ #킬링타임,4-10,14K,"['#킬링타임', '#유튜브', '#꿈의직장', '#mib']",57,https://www.tiktok.com/@killta8585/video/7220355378121379074?q=%EC%A7%81%EC%97%85
wo_o.w,고졸엠생 매달350씩 저축하는 방법,9-21,36.2K,[],621,https://www.tiktok.com/@wo_o.w/video/7281247064003185922?q=%EC%A7%81%EC%97%85
