Writer,Content,Date,Like,Tag,Comments,Url
osnews84,[],6-25,99.1K,"['#졸속행정', '#윤석열퇴진', '#윤석열탄핵', '#김건희특검']",2116,https://www.tiktok.com/@osnews84/video/7248530448874245377?q=%EA%B5%90%EC%9C%A1
yoo_jaei,[],2022-3-6,286,"['#short', '#육아', '#육아맘', '#육아일상', '#아들맘', '#수면교육']",9,https://www.tiktok.com/@yoo_jaei/video/7071775071970364674?q=%EA%B5%90%EC%9C%A1
fun_meme11,[],2-25,58.1K,"['#웃긴영상', '#외국밈', '#meme', '#funnyvideos', '#funnymoments']",395,https://www.tiktok.com/@fun_meme11/video/7203763680620596481?q=%EA%B5%90%EC%9C%A1
socialkim,[],2021-9-7,5677,"['#틱톡정보통', '#틱톡교실', '#틱톡쌤']",107,https://www.tiktok.com/@socialkim/video/7005080500746341634?q=%EA%B5%90%EC%9C%A1
high_nity,[],8-23,15.8K,"['#하이니티', '#틱톡뉴스', '#틱톡교실', '#학생', '#학교']",907,https://www.tiktok.com/@high_nity/video/7270514861552045319?q=%EA%B5%90%EC%9C%A1
wonderdiving,[],7-1,28.5K,"['#스쿠버다이빙', '#스쿠버다이버', '#스쿠버강사']",324,https://www.tiktok.com/@wonderdiving/video/7250700243900124417?q=%EA%B5%90%EC%9C%A1
zisik_cat,[],2022-5-31,26.3K,"['#지식', '#틱톡쌤', '#틱톡교육', '#틱톡교실']",281,https://www.tiktok.com/@zisik_cat/video/7103837134171262209?q=%EA%B5%90%EC%9C%A1
user3477976961429,[],9-9,244,"['#ㅋ', '#동심파괴']",6,https://www.tiktok.com/@user3477976961429/video/7276762070509440258?q=%EA%B5%90%EC%9C%A1
greapaxcherri,[],2022-3-3,1.5M,['#그레빠체리'],4152,https://www.tiktok.com/@greapaxcherri/video/7070851507377294593?q=%EA%B5%90%EC%9C%A1
ydh7434,[],2022-4-13,104.5K,"['#개는훌륭하다', '#도리', '#이정도면']",1073,https://www.tiktok.com/@ydh7434/video/7086046124594728193?q=%EA%B5%90%EC%9C%A1
