Writer,Content,Date,Like,Tag,Comments,Url
xunue123,걸어다니면서 화장하기 2탄 @,8-23,487.4K,['#틱톡뷰티'],1791,https://www.tiktok.com/@xunue123/video/7270465094482513154?q=%EB%B7%B0%ED%8B%B0
ilsanhighschool,"손톱의 대변신..!!! 깜짝 놀라다 일산고 학생들의 실력이란..ㅠㅠㅠ 네일의 천재들이 여기 모였다!! 네일아트뿐만 아니라 메이크업,헤어까지도 완벽한 우리 학생들 곧 메이크업 영상도 업로드 하겠습니당 ㅎㅎ 일산고등학교 뷰티과에 대해 궁금하게 있으시다면 언제든 연락해주세요 환영합니다☺️❤️💖💞",2022-9-6,8135,[],52,https://www.tiktok.com/@ilsanhighschool/video/7140219580907146497?q=%EB%B7%B0%ED%8B%B0
laneige_kr,Replying to,7-17,55.5K,"['#라네즈', '#올영추천템', '#올여ᄋ에센셜블러링피니시파우더']",330,https://www.tiktok.com/@laneige_kr/video/7256714089173404929?q=%EB%B7%B0%ED%8B%B0
luadoll,최애 조합💓,2022-9-27,567.1K,"['#beauty', '#skincare', '#luabeauty', '#루아뷰티', '#틱톡뷰티', '#틱톡보고삼', '#asmr']",1557,https://www.tiktok.com/@luadoll/video/7148004506771524865?q=%EB%B7%B0%ED%8B%B0
ara_spring,롬앤 촉촉립 추천💜,8-13,60.9K,"['#롬앤', '#립스틱', '#롬애라카', '#lipmakeup', '#makeuptutorial', '#makeupvideo']",67,https://www.tiktok.com/@ara_spring/video/7266627056195194130?q=%EB%B7%B0%ED%8B%B0
lovelyaralla0,아. . 진짜 이와중에 새학기헤어 요청영상 업로드하는 언니야 칭찬해🥲🥲🥲🥲🥲🥲,1-25,32.1K,['#헤어꿀팁'],451,https://www.tiktok.com/@lovelyaralla0/video/7192524018791025921?q=%EB%B7%B0%ED%8B%B0
cho.jiiii,1990s VS 2023 🤔,2-24,240.6K,"['#틱톡뷰티', '#레트로메이크업']",503,https://www.tiktok.com/@cho.jiiii/video/7203654186058190082?q=%EB%B7%B0%ED%8B%B0
luadoll,@화장하는청담언니,2022-10-13,1.6M,"['#beauty', '#luabeauty', '#메이크업', '#뷰티', '#뷰티꿀팁', '#루아뷰티']",2361,https://www.tiktok.com/@luadoll/video/7153922020160457986?q=%EB%B7%B0%ED%8B%B0
uijubeauty_official,Mauve pink makeup,18시간 전,721,"['#fyp', '#뷰티트렌드']",5,https://www.tiktok.com/@uijubeauty_official/video/7308349858530839816?q=%EB%B7%B0%ED%8B%B0
luadoll,붙임머리 길어서 팁이 내려온건데 계속 비듬 이래😂,2022-6-19,649.6K,"['#hair', '#luabeauty', '#뷰티', '#헤어', '#헤어꿀팁']",994,https://www.tiktok.com/@luadoll/video/7110899289269767426?q=%EB%B7%B0%ED%8B%B0
cookingmua,님에게 회신 웨이드 엄마 브룩 💦,8-21,203.8K,"['#요리하는메이크업아티스트', '#틱톡뷰티', '#soapmaking']",1801,https://www.tiktok.com/@cookingmua/video/7269707513216486663?q=%EB%B7%B0%ED%8B%B0
lorakim1007,알리에서 시킨 속눈썹 최고다 🔥❤️,2022-9-28,14.5K,"['#틱톡뷰티', '#파트너크리에이터', '#fyp']",53,https://www.tiktok.com/@lorakim1007/video/7148378691528117506?q=%EB%B7%B0%ED%8B%B0
mbcentertainment_,,2022-3-26,18.1K,"['#김세정', '#나혼자산다', '#나혼산', '#뷰티팁']",29,https://www.tiktok.com/@mbcentertainment_/video/7078540378231590146?q=%EB%B7%B0%ED%8B%B0
sale3263,틴트 깔끔하게 바르는법 알려줄게,5-2,13.6K,"['#틴트바르기', '#lipsticktutorial', '#lipstick']",184,https://www.tiktok.com/@sale3263/video/7228569435026574594?q=%EB%B7%B0%ED%8B%B0
