Writer,Content,Date,Like,Tag,Comments,Url
humor__zzal,[],8-9,63K,"['#졸귀', '#애견', '#반려견', '#유머짤', '#유머', '#줄행랑치네욬ᄏᄏᄏᄏᄏ']",328,https://www.tiktok.com/@humor__zzal/video/7265235751556713736?q=%EC%9C%A0%EB%A8%B8
answerisyou_,[],9-19,105.1K,"['#레전드', '#응징하기', '#참교육', '#개웃김', '#유머영상']",1131,https://www.tiktok.com/@answerisyou_/video/7280418855799868674?q=%EC%9C%A0%EB%A8%B8
humor.yamyam,[],8-28,94K,"['#여동생', '#오빠들', '#포켓몬스터', '#존잼', '#유머얌얌']",1422,https://www.tiktok.com/@humor.yamyam/video/7272288777987575048?q=%EC%9C%A0%EB%A8%B8
happywoman0101,[],8-16,22.5K,"['#웃음', '#웃기는동영상', '#웃음참기', '#유머영상', '#깜놀', '#심멎', '#심멎주의', '#개웃김', '#개웃겨', '#개웃김주의']",317,https://www.tiktok.com/@happywoman0101/video/7267600191526604034?q=%EC%9C%A0%EB%A8%B8
findursmile3,[],9-22,10.8K,"['#재미', '#재밌는영상', '#꿀잼', '#funnyvideos', '#유머동영상']",234,https://www.tiktok.com/@findursmile3/video/7281502375603375368?q=%EC%9C%A0%EB%A8%B8
opentooth,[],2020-6-11,126.6K,"['#유머', '#유머영상', '#코미디', '#개그', '#추천', '#추천떠라', '#추천간판', '#개웃김']",2420,https://www.tiktok.com/@opentooth/video/6836878559861116162?q=%EC%9C%A0%EB%A8%B8
kellyfornia_99,[],7-19,38.3K,"['#김켈리', '#코미디']",187,https://www.tiktok.com/@kellyfornia_99/video/7257452257136971010?q=%EC%9C%A0%EB%A8%B8
mk.d._.luffy,[],8-23,31K,"['#웃긴영상', '#웃긴', '#웃긴동영상', '#유머', '#개그', '#웃짤', '#밈']",105,https://www.tiktok.com/@mk.d._.luffy/video/7270343638356331784?q=%EC%9C%A0%EB%A8%B8
findursmile3,[],9-1,14K,['#쇼바의중요성'],384,https://www.tiktok.com/@findursmile3/video/7273864622141082888?q=%EC%9C%A0%EB%A8%B8
kellyfornia_99,[],7-9,56.9K,"['#김켈리', '#코미디']",507,https://www.tiktok.com/@kellyfornia_99/video/7253684706506476801?q=%EC%9C%A0%EB%A8%B8
nuri_smail,[],20시간 전,2960,"['#유머', '#예능짤', '#예능', '#유머스타그램']",40,https://www.tiktok.com/@nuri_smail/video/7308298062261243137?q=%EC%9C%A0%EB%A8%B8
bermuda_triangle._pants,[],10-20,13.5K,"['#웃긴동영상', '#웃긴사진', '#웃긴짤', '#웃김', '#웃짤', '#유머그램', '#유머스타그램']",173,https://www.tiktok.com/@bermuda_triangle._pants/video/7291940999142706433?q=%EC%9C%A0%EB%A8%B8
instiz.official,[],2022-8-28,23.5K,"['#놀이동산', '#놀이공원', '#놀이기구', '#유머영상', '#유머짤', '#유머모음', '#틱톡유머', '#틱톡코미디']",259,https://www.tiktok.com/@instiz.official/video/7136746547127012610?q=%EC%9C%A0%EB%A8%B8
healing_humor,[],8-30,7582,"['#풍자', '#유머', '#존잼', '#먹방', '#ㅋㅋㅋㅋㅋ', '#힐링유머']",94,https://www.tiktok.com/@healing_humor/video/7273013771390536968?q=%EC%9C%A0%EB%A8%B8
humor.yamyam,[],11-1,633,"['#인도', '#마사지', '#유머']",100,https://www.tiktok.com/@humor.yamyam/video/7296463181516459272?q=%EC%9C%A0%EB%A8%B8
insta.gjhifm03,[],9-15,68.7K,"['#유머영상', '#유머저장소', '#유머', '#웃긴글', '#유머짤', '#짤스타그램']",201,https://www.tiktok.com/@insta.gjhifm03/video/7278954099712756993?q=%EC%9C%A0%EB%A8%B8
dooriburntv,[],11-16,21.7K,"['#유머', '#유머짤', '#유머글', '#유머동영상', '#유머저장소', '#유머그램']",917,https://www.tiktok.com/@dooriburntv/video/7302001825174064402?q=%EC%9C%A0%EB%A8%B8
humor__zzal,[],8-8,27.7K,"['#직장인', '#유머', '#기상', '#유머짤']",1128,https://www.tiktok.com/@humor__zzal/video/7264867546879282450?q=%EC%9C%A0%EB%A8%B8
hoho_ajm_,[],20시간 전,1053,[],17,https://www.tiktok.com/@hoho_ajm_/video/7308305986773650689?q=%EC%9C%A0%EB%A8%B8
